TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,N_heat,N_isothermal
7.553e6,0.049782683333333334,84.05256666666666,-5454.76,0.0,-4809.461666666667,1157.3733333333332,-0.23561883333333336,2341.468333333333,2341.2333333333336,0.0004090178333333333,0.01898785,0.017221583333333332,0.036209450000000004,6,0.05,0.05,0.05,1.0,500000,9500000
7.554e6,0.049983799999999995,84.37075,-5454.831666666666,0.0,-4807.953333333334,1162.0483333333334,-0.23521966666666663,2335.4483333333333,2335.215,0.0007256742999999999,0.018993383333333336,0.017297383333333336,0.036290750000000004,6,0.05,0.05,0.05,1.0,500000,9500000
7.555e6,0.05005038333333334,83.06525,-5453.618333333333,0.0,-4805.75,1163.595,-0.23497783333333333,2331.9199999999996,2331.685,-0.00023356716666666664,0.019029800000000003,0.017409133333333337,0.03643891666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.556e6,0.0500223,83.37866666666666,-5454.501666666667,0.0,-4806.843333333333,1162.9433333333334,-0.23509033333333332,2333.8816666666667,2333.6466666666665,-2.8723499999999966e-5,0.018958449999999998,0.0174467,0.03640516666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.557e6,0.050087266666666665,83.52646666666666,-5454.650000000001,0.0,-4807.326666666667,1164.4533333333334,-0.23502416666666667,2332.93,2332.6983333333333,0.0005965388333333332,0.018963133333333333,0.01741088333333333,0.036374,6,0.05,0.05,0.05,1.0,500000,9500000
7.558e6,0.0499743,83.09026666666666,-5454.32,0.0,-4807.32,1161.825,-0.235193,2335.583333333333,2335.35,-7.161629999999998e-5,0.01901355,0.017367816666666664,0.03638138333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.559e6,0.049935549999999995,83.10366666666668,-5455.085,0.0,-4808.455,1160.925,-0.23532433333333336,2337.7450000000003,2337.5116666666668,0.00030902200000000005,0.018999400000000003,0.0173571,0.03635653333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.56e6,0.04998181666666666,83.03384999999999,-5454.625,0.0,-4808.303333333333,1162.005,-0.23524499999999995,2336.6983333333333,2336.4649999999997,-6.611388333333335e-5,0.018994733333333333,0.017346583333333335,0.03634131666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.561e6,0.04996985,83.8214,-5454.918333333333,0.0,-4809.355,1161.7250000000001,-0.23533083333333335,2338.1716666666666,2337.94,0.0003115006666666667,0.018970400000000002,0.017270833333333332,0.03624125,6,0.05,0.05,0.05,1.0,500000,9500000
7.562e6,0.05002131666666667,84.55588333333334,-5455.4816666666675,0.0,-4807.788333333333,1162.9183333333335,-0.23515283333333334,2335.5833333333335,2335.345,0.00036346833333333336,0.018985616666666667,0.017345549999999998,0.03633115,6,0.05,0.05,0.05,1.0,500000,9500000
