TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
6.1e6,0.050005469999999996,62.48955000000001,-4599.525,0.0,-3985.3609999999994,1162.5529999999999,-0.1821168,3188.421,3188.2409999999995,8.713746000000001e-5,0.018218810000000002,0.01737331,0.035592109999999996
6.2e6,0.05000372999999999,62.72459,-4609.832,0.0,-3995.3599999999997,1162.5099999999998,-0.1827644,3202.4129999999996,3202.2309999999998,8.260486999999999e-5,0.01822646,0.01737008,0.035596560000000006
6.3e6,0.050003259999999994,62.98919000000001,-4621.281,0.0,-4006.2909999999997,1162.5009999999997,-0.18347059999999998,3217.257,3217.0739999999996,8.003647999999998e-5,0.0182448,0.017368059999999998,0.03561286000000001
6.4e6,0.05000357999999999,63.183119999999995,-4632.369000000001,0.0,-4017.1119999999996,1162.5100000000002,-0.1841681,3232.1689999999994,3231.984,7.497007000000001e-5,0.01824583,0.01737189,0.03561776
6.5e6,0.04998551,63.41931999999999,-4641.299999999999,0.0,-4025.9669999999996,1162.0890000000002,-0.1847666,3246.32,3246.1330000000003,7.775708e-5,0.018249099999999997,0.01735814,0.03560721000000001
6.6e6,0.049995880000000006,63.53926,-4650.271000000001,0.0,-4034.5800000000004,1162.328,-0.18530649999999999,3259.761,3259.572,7.906227999999999e-5,0.018244669999999998,0.017377990000000003,0.03562268
6.7e6,0.050004599999999996,63.54476,-4659.282000000001,0.0,-4043.4490000000005,1162.531,-0.1858657,3272.826,3272.640999999999,7.061088e-5,0.01826014,0.017371329999999997,0.03563149
6.8e6,0.05001295,63.99769,-4670.023,0.0,-4053.656,1162.725,-0.1865115,3287.236,3287.0500000000006,7.900002e-5,0.018272649999999998,0.017364049999999995,0.03563673
6.9e6,0.05000954,64.25483,-4680.269,0.0,-4063.517,1162.6460000000002,-0.18715299999999999,3301.4980000000005,3301.311,7.540016e-5,0.01828176,0.01736323,0.03564498000000001
7.0e6,0.05000832000000001,64.35136,-4688.579,0.0,-4071.6570000000006,1162.618,-0.1876798,3314.154,3313.9660000000003,7.179483999999999e-5,0.018275140000000002,0.01737453,0.03564967
7.1e6,0.05000381,64.35445000000001,-4695.712,0.0,-4078.501,1162.5149999999999,-0.18812829999999997,3326.685,3326.495,6.485677999999999e-5,0.01828717,0.017381,0.035668149999999996
7.2e6,0.05002416,64.56278,-4702.865,0.0,-4085.38,1162.988,-0.18854149999999997,3338.517999999999,3338.331000000001,7.265989999999999e-5,0.01829235,0.017379940000000003,0.03567229
7.3e6,0.05002932,64.67461,-4710.743,0.0,-4092.797,1163.107,-0.1890123,3351.0189999999993,3350.8300000000004,6.445153e-5,0.018303049999999998,0.01739195,0.035695000000000005
