TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
3.188e7,0.049979579999999996,87.50582,-5596.3460000000005,0.0,-4942.592,1161.9479999999999,-0.243912,6513.242,6513.000000000001,6.445631199999998e-5,0.019203320000000003,0.01732916,0.03653246,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.189e7,0.04998846,87.60746,-5596.376000000001,0.0,-4942.212,1162.1580000000001,-0.24387480000000003,6514.462,6514.218,0.00012278044,0.01919564,0.01735618,0.03655182,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.19e7,0.049992539999999995,87.76809999999999,-5596.424,0.0,-4941.956,1162.252,-0.243852,6515.825999999999,6515.582,7.97362e-5,0.019200700000000005,0.01736072,0.03656144,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.191e7,0.05001451999999999,87.43386000000001,-5596.056,0.0,-4940.428000000001,1162.7620000000002,-0.2437204,6515.404,6515.160000000001,-7.465006e-5,0.019268840000000002,0.017388880000000002,0.03665774,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.192e7,0.0500981,87.84312,-5595.818,0.0,-4939.696000000001,1164.704,-0.2435476,6514.254,6514.01,6.78544e-5,0.0192718,0.017391579999999997,0.03666338,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.193e7,0.05002304,87.2611,-5596.3099999999995,0.0,-4942.048,1162.9599999999998,-0.24381179999999997,6519.994000000001,6519.748,-6.784932200000001e-5,0.01919092,0.01738994,0.03658086,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.194e7,0.05008648,87.29310000000001,-5596.548,0.0,-4940.4400000000005,1164.434,-0.2436134,6518.603999999999,6518.3640000000005,-0.00012658483999999998,0.0192512,0.01744644,0.03669762,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.195e7,0.05003006,87.2372,-5596.244000000001,0.0,-4941.594,1163.124,-0.24377239999999997,6522.724,6522.478000000001,-8.058599999999999e-5,0.01922048,0.01738674,0.03660724,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.196e7,0.049974439999999995,87.57365999999999,-5595.918,0.0,-4941.94,1161.8280000000002,-0.2438782,6525.933999999999,6525.692,7.371356e-5,0.019193599999999998,0.017348640000000002,0.036542240000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.197e7,0.05000464,87.45833999999999,-5596.002,0.0,-4941.767999999999,1162.5320000000002,-0.2438218,6526.822,6526.574,2.0525220000000003e-5,0.01923114,0.01733504,0.036566140000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.198e7,0.05001992000000001,87.21086,-5596.024,0.0,-4942.24,1162.886,-0.2438288,6528.665999999999,6528.424,-7.121278000000002e-5,0.019236819999999998,0.0173163,0.036553100000000005,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.199e7,0.049910880000000005,87.45272,-5596.82,0.0,-4943.084000000001,1160.3539999999998,-0.244047,6533.688,6533.4439999999995,4.952269999999998e-5,0.0191754,0.0173591,0.03653449999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.2e7,0.05007612,87.44739999999999,-5596.066000000001,0.0,-4940.160000000001,1164.194,-0.2436106,6528.504,6528.259999999999,-7.052078000000001e-5,0.01925354,0.017421480000000003,0.03667498,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.201e7,0.05003206,87.36233999999999,-5596.375999999999,0.0,-4941.512000000001,1163.1699999999998,-0.243764,6532.624,6532.382,-0.00018158484,0.01922226,0.01739082,0.03661308,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.202e7,0.05002902,87.58764000000001,-5596.2,0.0,-4941.93,1163.098,-0.24379559999999997,6535.161999999999,6534.918,4.7020140000000003e-5,0.01921506,0.017345,0.03656004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.203e7,0.04998994,87.64634,-5595.918,0.0,-4941.554,1162.19,-0.2438298,6537.492000000001,6537.246,-3.479212e-5,0.01921134,0.017351159999999997,0.03656246,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.204e7,0.04999676,87.80645999999999,-5595.992,0.0,-4941.174,1162.35,-0.24379520000000002,6538.531999999999,6538.2880000000005,0.00015033459999999998,0.019187,0.01739434,0.03658132,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.205e7,0.05000338,87.40653999999999,-5596.000000000001,0.0,-4941.356,1162.5040000000001,-0.2437972,6540.224,6539.980000000001,-9.549931999999998e-5,0.019220720000000004,0.01737512,0.036595880000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.206e7,0.04998108,87.66694,-5596.5019999999995,0.0,-4941.832,1161.984,-0.24386100000000002,6542.884,6542.64,0.00011141617999999999,0.01918602,0.01739502,0.036581020000000006,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.207e7,0.04998334,87.61186000000001,-5596.244,0.0,-4942.273999999999,1162.038,-0.24388599999999996,6544.858,6544.614,8.909469399999999e-5,0.01918312,0.017356359999999998,0.036539459999999996,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.208e7,0.0500493,87.83178,-5595.7519999999995,0.0,-4940.392,1163.5700000000002,-0.2436656,6543.089999999999,6542.846,0.00018504266,0.01918276,0.01743202,0.0366148,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.209e7,0.05007736,88.06253999999998,-5595.836,0.0,-4939.933999999999,1164.224,-0.24359419999999998,6543.814,6543.574,3.544015999999999e-5,0.01925348,0.01738126,0.03663474,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.21e7,0.05000051999999999,87.62737999999999,-5596.376,0.0,-4941.528,1162.4379999999999,-0.2438126,6548.856,6548.611999999999,6.5613914e-5,0.01919336,0.01740154,0.03659488,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.211e7,0.05001392,86.91898,-5595.776,0.0,-4941.438,1162.75,-0.2437864,6550.0560000000005,6549.8099999999995,-0.00022550364000000004,0.01924332,0.0173642,0.03660758,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.212e7,0.04995674,87.44528,-5596.052,0.0,-4942.512000000001,1161.422,-0.2439416,6554.212000000001,6553.966,-6.959811999999999e-5,0.01921286,0.017309440000000002,0.0365223,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.213e7,0.05011325999999999,87.75588,-5595.859999999999,0.0,-4940.098,1165.0579999999998,-0.243551,6549.9839999999995,6549.74,3.817100000000003e-6,0.019240479999999997,0.017405040000000004,0.036645500000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
