TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
7.91e6,0.050008659999999996,65.08046000000002,-4749.692,0.0,-4132.436,1162.6259999999997,-0.19160059999999998,3423.286,3423.094,5.598538e-5,0.0182814,0.017342820000000002,0.03562426,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.92e6,0.049990679999999996,65.32544,-4751.04,0.0,-4133.284,1162.208,-0.1916824,3425.16,3424.9700000000003,5.7940500000000005e-5,0.018272080000000003,0.01736848,0.035640559999999995,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.93e6,0.04998452,65.03540000000001,-4751.397999999999,0.0,-4134.118,1162.064,-0.1917454,3426.7759999999994,3426.5860000000002,5.862812e-5,0.01829076,0.017337899999999996,0.03562864,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.94e6,0.050022180000000006,64.74966,-4752.084,0.0,-4133.111999999999,1162.94,-0.191624,3425.344,3425.1519999999996,3.6599624e-5,0.01829996,0.01745626,0.0357562,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.95e6,0.0500615,65.3625,-4752.048000000001,0.0,-4132.5160000000005,1163.8539999999998,-0.1915264,3424.1639999999998,3423.97,7.3026306e-5,0.018357560000000002,0.017395260000000003,0.03575286,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.96e6,0.05000794000000001,65.11992000000001,-4753.018,0.0,-4134.718000000001,1162.6100000000001,-0.191749,3428.1220000000003,3427.928,4.6752535999999995e-5,0.01829324,0.01739558,0.03568882,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.97e6,0.05001808,65.32108000000001,-4753.2919999999995,0.0,-4135.314,1162.846,-0.1917722,3429.156,3428.964,6.796176e-5,0.01829232,0.017362919999999997,0.03565526,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.98e6,0.0500428,65.20226,-4754.038,0.0,-4135.285999999999,1163.422,-0.1917332,3429.1259999999993,3428.934,6.98214e-5,0.01833708,0.017375719999999997,0.0357128,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
7.99e6,0.050041959999999996,65.43588,-4755.034000000001,0.0,-4137.161999999999,1163.398,-0.19185560000000002,3431.6639999999998,3431.468,6.883302e-5,0.018298639999999998,0.0173426,0.0356412,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
8.0e6,0.04997838,65.51746,-4755.874000000001,0.0,-4138.324,1161.922,-0.19202560000000002,3434.804,3434.614,9.301602e-5,0.01828396,0.017331000000000003,0.03561498,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
