TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,fit_ep_parameters,fit_ep_margin_error,fit_ep_standard_error
3.6467e8,0.0500965,30.8809,-2143.24,0.0,-1887.97,465.823,-0.229379,33135.0,33134.8,4.51234e-5,0.0186569,0.0175352,0.0361921,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6468e8,0.0499543,30.1939,-2143.59,0.0,-1889.94,464.5,-0.22991,33138.5,33138.3,-0.000153843,0.0186321,0.0174094,0.0360415,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6469e8,0.04998,30.416,-2143.23,0.0,-1888.65,464.739,-0.229663,33137.7,33137.5,-7.78653e-5,0.0186619,0.017493,0.0361548,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.647e8,0.0500314,31.4333,-2143.1,0.0,-1887.98,465.217,-0.229479,33137.5,33137.2,0.000136533,0.0186492,0.0174286,0.0360779,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6471e8,0.0500214,29.9677,-2143.49,0.0,-1889.3,465.124,-0.229705,33139.9,33139.7,-0.00011084,0.0186456,0.01752,0.0361656,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6472e8,0.0498439,29.9428,-2143.72,0.0,-1890.93,463.474,-0.230235,33144.0,33143.8,-0.000105528,0.0185797,0.0173631,0.0359429,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6473e8,0.0500427,30.2495,-2143.59,0.0,-1889.68,465.322,-0.229736,33141.7,33141.4,-7.01684e-5,0.0186024,0.0174714,0.0360738,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6474e8,0.0499141,29.8323,-2143.63,0.0,-1890.55,464.126,-0.230069,33144.8,33144.6,-0.000122571,0.0185899,0.0174168,0.0360067,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6475e8,0.0499613,30.5402,-2144.02,0.0,-1889.24,464.565,-0.229787,33144.1,33143.9,5.26786e-5,0.0185501,0.0176172,0.0361674,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6476e8,0.0499426,30.6511,-2143.72,0.0,-1889.05,464.391,-0.229784,33144.8,33144.5,1.42364e-5,0.0186163,0.0175145,0.0361308,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6477e8,0.0500195,29.96,-2143.42,0.0,-1889.67,465.106,-0.229768,33145.8,33145.6,-0.000165756,0.018686,0.0174095,0.0360954,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6478e8,0.0501313,29.9446,-2143.13,0.0,-1888.07,466.146,-0.229343,33144.3,33144.1,-6.01178e-5,0.0187279,0.0175807,0.0363087,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6479e8,0.0499159,30.3833,-2143.49,0.0,-1889.57,464.143,-0.229907,33148.8,33148.6,-7.12012e-6,0.0185815,0.0174731,0.0360545,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.648e8,0.0500882,30.5365,-2143.4,0.0,-1888.34,465.745,-0.22945,33146.6,33146.4,2.14493e-5,0.0186602,0.0175531,0.0362133,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6481e8,0.050101,30.5923,-2143.52,0.0,-1889.22,465.864,-0.229573,33148.2,33148.0,3.17024e-5,0.0186361,0.0174463,0.0360824,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
