TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,id
1.7e6,0.050006430000000004,61.277460000000005,-4504.961,0.0,-3893.0090000000005,1162.575,-0.1761571,1546.1840000000002,1546.008,0.00045221599999999997,0.018166790000000002,0.017360559999999997,0.03552733,0.030.050.055000.01.00.001
1.8e6,0.050020049999999996,62.08292,-4552.169,0.0,-3938.685,1162.8909999999998,-0.1790836,1592.562,1592.3830000000003,0.0004193472,0.018201940000000003,0.01737221,0.03557416,0.030.050.055000.01.00.001
1.9e6,0.049993560000000006,62.86546,-4592.07,0.0,-3977.825,1162.275,-0.1816486,1633.534,1633.3509999999999,0.0004065468,0.018204829999999998,0.017367780000000003,0.0355726,0.030.050.055000.01.00.001
2.0e6,0.050007329999999996,63.53743000000001,-4630.816000000001,0.0,-4015.3659999999995,1162.5970000000002,-0.18404959999999998,1671.164,1670.9809999999998,0.0003869492999999999,0.018232540000000002,0.01737479,0.035607309999999996,0.030.050.055000.01.00.001
2.1e6,0.049998549999999996,64.07816,-4666.474,0.0,-4050.1450000000004,1162.391,-0.1863066,1707.429,1707.244,0.0003399714,0.01825733,0.017371840000000003,0.035629179999999996,0.030.050.055000.01.00.001
2.2e6,0.05000872999999999,64.80411000000001,-4700.184,0.0,-4082.819999999999,1162.6290000000001,-0.1883997,1740.857,1740.6680000000001,0.0003522029,0.01828675,0.01736227,0.03564902,0.030.050.055000.01.00.001
2.3e6,0.04999887,65.43625,-4729.716,0.0,-4111.255999999999,1162.401,-0.1902489,1772.113,1771.922,0.00032081460000000004,0.018308079999999997,0.017370880000000002,0.035678970000000004,0.030.050.055000.01.00.001
2.4e6,0.050006550000000004,66.02808999999999,-4755.883,0.0,-4136.668,1162.5780000000002,-0.19187690000000002,1800.0699999999997,1799.8780000000002,0.00034604829999999994,0.018321490000000003,0.017367959999999998,0.03568944,0.030.050.055000.01.00.001
2.5e6,0.05001056,66.39523,-4781.17,0.0,-4161.285000000001,1162.6699999999998,-0.1934589,1827.297,1827.104,0.00028860450000000004,0.01834438,0.01736466,0.03570903,0.030.050.055000.01.00.001
2.6e6,0.050014199999999995,66.99731999999999,-4806.878999999999,0.0,-4186.199,1162.754,-0.1950607,1855.208,1855.011,0.0003126355,0.018356729999999998,0.017364860000000003,0.03572154,0.030.050.055000.01.00.001
2.7e6,0.05002891,67.47864,-4831.0830000000005,0.0,-4209.4220000000005,1163.097,-0.1965372,1881.761,1881.5639999999999,0.0002879599,0.01838054,0.01737318,0.03575371000000001,0.030.050.055000.01.00.001
2.8e6,0.050011349999999996,67.74745999999999,-4850.785000000001,0.0,-4228.86,1162.688,-0.19781749999999998,1906.518,1906.3200000000002,0.00026677839999999993,0.01838451,0.01736893,0.035753440000000004,0.030.050.055000.01.00.001
2.9e6,0.05001057,68.12013,-4870.951,0.0,-4248.298999999999,1162.6699999999998,-0.1990727,1930.625,1930.4260000000002,0.00024313735,0.018403859999999998,0.01737251,0.03577635,0.030.050.055000.01.00.001
3.0e6,0.05000398,68.63149999999999,-4888.520999999999,0.0,-4265.332,1162.518,-0.2001816,1952.634,1952.4330000000002,0.0002737417,0.0184076,0.01737024,0.035777840000000005,0.030.050.055000.01.00.001
3.1e6,0.05001628,68.88562999999999,-4904.331,0.0,-4280.409,1162.8039999999999,-0.2011359,1973.368,1973.1670000000001,0.00023818379999999994,0.018429450000000003,0.01737934,0.03580877,0.030.050.055000.01.00.001
3.2e6,0.05000565,68.96642,-4919.715000000001,0.0,-4295.787,1162.5549999999998,-0.20214400000000002,1994.655,1994.4540000000002,0.00020906450000000002,0.018434099999999995,0.01736985,0.03580393,0.030.050.055000.01.00.001
3.3e6,0.05000665,69.39792999999999,-4935.057,0.0,-4310.491,1162.5810000000001,-0.203091,2014.3359999999998,2014.1330000000005,0.0002257798,0.01844515,0.017372110000000003,0.03581728,0.030.050.055000.01.00.001
3.4e6,0.04999737,69.81487,-4949.405,0.0,-4324.433999999999,1162.3650000000002,-0.20400460000000004,2034.4370000000004,2034.2330000000002,0.0002450949,0.018446109999999998,0.01737047,0.03581658,0.030.050.055000.01.00.001
3.5e6,0.05000961,70.10867,-4963.978000000001,0.0,-4338.307,1162.649,-0.204881,2053.9429999999998,2053.738,0.0001997749,0.018471710000000002,0.017371160000000004,0.035842870000000006,0.030.050.055000.01.00.001
3.6e6,0.049991810000000005,70.43665999999999,-4977.427,0.0,-4351.552000000001,1162.235,-0.2057623,2073.0780000000004,2072.871,0.0001998963,0.01847207,0.01736281,0.035834889999999994,0.030.050.055000.01.00.001
3.7e6,0.04999721,70.75979,-4989.571999999999,0.0,-4363.311,1162.361,-0.2065128,2090.746,2090.537,0.00019901516000000002,0.018484320000000002,0.017354589999999996,0.035838880000000004,0.030.050.055000.01.00.001
3.8e6,0.04999912,71.05792,-5000.858,0.0,-4373.897,1162.405,-0.20719310000000002,2108.055,2107.847,0.00018601749999999997,0.018500179999999998,0.017364409999999997,0.03586458,0.030.050.055000.01.00.001
3.9e6,0.04999159,71.06815,-5012.295,0.0,-4385.343,1162.23,-0.20794300000000004,2126.218,2126.0080000000003,0.00016839889000000002,0.01850317,0.01736021,0.03586337999999999,0.030.050.055000.01.00.001
4.0e6,0.050014989999999995,71.58593,-5023.437,0.0,-4395.553000000001,1162.7720000000002,-0.20856640000000004,2142.185,2141.978,0.00021753430000000002,0.018523189999999995,0.017367,0.0358902,0.030.050.055000.01.00.001
4.1e6,0.05001232,71.51784,-5033.636,0.0,-4405.602000000001,1162.711,-0.20921860000000003,2158.934,2158.7229999999995,0.00013179442,0.01852175,0.01738257,0.03590429999999999,0.030.050.055000.01.00.001
4.2e6,0.05001809,72.02637,-5046.072,0.0,-4417.55,1162.846,-0.2099809,2177.2519999999995,2177.041,0.00017308014,0.01853879,0.017364169999999998,0.035902979999999994,0.030.050.055000.01.00.001
4.3e6,0.05000285,72.03065,-5056.056999999999,0.0,-4427.317,1162.492,-0.2106339,2194.33,2194.12,0.00011067656999999998,0.01855103,0.017365570000000004,0.03591661,0.030.050.055000.01.00.001
4.4e6,0.05000757,72.23047,-5066.164000000001,0.0,-4437.119000000001,1162.6,-0.21125929999999998,2211.453,2211.241,0.0001240933,0.01855141,0.01737216,0.035923529999999995,0.030.050.055000.01.00.001
4.5e6,0.05000116,72.52405000000002,-5074.968000000001,0.0,-4445.469,1162.4510000000002,-0.21180749999999998,2227.559,2227.348,0.00013483764000000003,0.018569170000000003,0.01736476,0.03593391,0.030.050.055000.01.00.001
4.6e6,0.05000354,72.73064,-5083.329,0.0,-4453.557999999999,1162.506,-0.2123257,2242.996,2242.7830000000004,0.00013147858,0.018569,0.01736906,0.03593806,0.030.050.055000.01.00.001
4.7e6,0.05003503,73.05919,-5091.013000000001,0.0,-4460.414999999999,1163.24,-0.21272090000000002,2256.609,2256.397,0.000147264107,0.01859049,0.017379730000000003,0.03597023,0.030.050.055000.01.00.001
4.8e6,0.04999526,73.17266,-5099.156000000001,0.0,-4468.527,1162.315,-0.21330390000000002,2273.297,2273.0840000000003,0.00014428568,0.018579270000000002,0.017385550000000003,0.03596482999999999,0.030.050.055000.01.00.001
4.9e6,0.04999452,73.40517000000001,-5105.65,0.0,-4474.992,1162.298,-0.21372199999999997,2287.743,2287.531,0.00014781846,0.018585700000000004,0.01736616,0.035951870000000004,0.030.050.055000.01.00.001
5.0e6,0.050020810000000006,73.29176000000001,-5112.801,0.0,-4481.88,1162.9080000000001,-0.21412690000000004,2302.12,2301.9039999999995,0.000124091775,0.01859725,0.01737891,0.035976169999999995,0.030.050.055000.01.00.001
5.1e6,0.05003145999999999,73.34855999999999,-5119.162,0.0,-4488.041,1163.155,-0.21450870000000005,2316.1700000000005,2315.954,9.762089e-5,0.01860488,0.01738042,0.03598529,0.030.050.055000.01.00.001
5.2e6,0.050007640000000006,73.55548000000002,-5125.4529999999995,0.0,-4494.217,1162.6029999999998,-0.2149431,2331.3520000000003,2331.1349999999998,0.00010158604,0.018605299999999998,0.017374209999999998,0.035979510000000006,0.030.050.055000.01.00.001
5.3e6,0.05000025,73.8367,-5132.395,0.0,-4500.946999999999,1162.431,-0.21538810000000003,2346.778,2346.5620000000004,0.0001295097,0.018601909999999996,0.01737308,0.03597499,0.030.050.055000.01.00.001
5.4e6,0.05000686,74.08753,-5139.679,0.0,-4507.757,1162.584,-0.2158178,2362.11,2361.8949999999995,0.00012400807,0.01861703,0.01737201,0.035989049999999995,0.030.050.055000.01.00.001
