poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
72.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
72.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
73.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
73.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
74.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
74.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
75.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
75.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
76.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
76.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
77.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
77.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
78.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
78.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
79.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
79.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
80.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
80.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
81.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
81.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
82.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
82.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
83.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
83.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
84.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
84.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
85.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
85.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
86.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
86.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
87.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
87.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
88.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
88.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
89.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
89.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
90.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
90.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
91.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
91.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
92.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
92.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
93.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
93.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
94.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
94.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
95.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
