poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot
52.8,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
53.0,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
53.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
53.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
53.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
53.8,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
54.0,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
54.2,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
54.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
54.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
54.8,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
55.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
55.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
55.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
55.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
55.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
56.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
56.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
56.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
56.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
56.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
57.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
57.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
57.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
57.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
57.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
58.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
58.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
58.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
58.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
58.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
59.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
59.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
59.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
59.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
59.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
60.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
60.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
60.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
60.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
60.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
61.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
61.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
61.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
61.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
61.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
62.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
62.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
62.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
62.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
62.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
63.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
63.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
63.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
63.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
63.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
64.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
64.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
64.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
64.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
64.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
65.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
65.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
65.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
65.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
65.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
66.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
66.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
66.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
66.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
66.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
67.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
67.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
67.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
67.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
67.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
68.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
68.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
68.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
68.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
68.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
69.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
69.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
69.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
69.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
69.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
70.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
70.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
70.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
70.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
70.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
71.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
71.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
71.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
71.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
71.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
72.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
72.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
72.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
72.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
72.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
73.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
73.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
73.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
73.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
73.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
74.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
74.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
74.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
74.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
74.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
75.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
75.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
75.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
75.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
75.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
76.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
76.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
76.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
76.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
76.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
77.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
77.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
77.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
77.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
77.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
78.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
78.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
78.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
78.6,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
78.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
