mag,Sq0,Sq10000000
372.0,0.915274815744845,0.8996147922962892
373.0,0.9486103229754974,0.9824755140491357
374.0,0.8979982259844852,0.9418978189524536
376.0,0.9775862645849464,0.9993560572015083
377.0,0.8635102113402722,0.9607852575884597
378.0,0.8864875822274482,0.9313307376126201
379.0,1.0343505818856442,0.9943456771565631
381.0,0.9214864687435218,0.9281971070007253
382.0,0.8735289550579549,0.9501121871816555
384.0,0.7935643066412481,1.0745269684168546
385.0,0.9014080174737373,0.9785894987040962
386.0,0.9071567099744247,0.9530439830346548
387.0,0.8998110264509661,0.979649359019968
388.0,0.9288288204899411,0.968217355179392
389.0,1.0003510328488556,0.9304774044648589
390.0,0.9553075152110534,0.9996487598747484
392.0,0.9010160785366453,0.9263327724892557
393.0,0.9128510555522332,0.904774786696979
394.0,0.860670426011321,0.9233053317488134
395.0,0.906262201494287,0.9300290010300488
396.0,0.9697380677426527,0.9304353493593329
397.0,0.9008092191397532,0.9720459328864994
398.0,0.9716832526025421,0.925946967338168
400.0,1.036867519887636,0.9350234274677439
401.0,0.9255884785287881,0.9346558299512852
402.0,0.9386103882719663,0.956261673167881
403.0,0.7926181650843657,0.9941484226671866
404.0,0.8491167619544362,0.9215002598847375
405.0,0.8871996169732674,0.9223259554469824
406.0,0.959371211850561,0.941464540215747
408.0,1.0128024013365977,0.960101159209493
409.0,0.9057543530502026,0.8923192591354108
410.0,0.8775739844915786,0.923155645703056
411.0,0.9753226818293846,0.9579741811409863
413.0,0.9189467147572621,0.9143793259731443
414.0,0.9647444704046804,0.9160349364524347
416.0,0.9810285140259619,0.8762112215916233
417.0,0.962719957687653,0.8678687821048163
418.0,1.0144194645268154,0.9042342732633413
419.0,0.9771225631816011,0.8744392359471991
420.0,0.9555038898878835,0.8797505325152822
421.0,0.8884301551969311,0.9385504813054484
422.0,0.8540011401924432,0.9070457089834812
424.0,1.0420836962245765,0.8768386463839938
425.0,0.9497506061901564,0.9068184486337867
426.0,0.941009852742829,0.9587811810223761
427.0,0.7969217228465519,0.9426291353782504
428.0,0.869150094839632,0.8843118807248831
429.0,0.9768271114623088,0.876370910876024
430.0,0.9152033330337125,0.9013714679269539
432.0,0.9785562191162204,0.9628220572606088
433.0,0.9752124754820288,0.8881301621872464
434.0,0.989494955542878,0.8954467623807948
435.0,0.8801653930043923,0.9179738287034799
436.0,0.9482420926571083,0.8417894311407017
437.0,0.9509448862163506,0.8371530793284395
438.0,0.9287592543006995,0.8884625375205254
440.0,0.9099153104440191,0.9255533758319909
441.0,0.9028947608530514,0.9180749542477319
442.0,0.9552057172677533,0.9198568206143168
443.0,0.8816592182443652,0.9136718617981389
445.0,0.9359772491403728,0.9052413660273282
446.0,0.9963112516496001,0.8977875655002808
449.0,0.9053403400943891,0.8698187845860157
450.0,0.9945114156552017,0.8695099655655906
451.0,0.8336463948497336,0.8450541743249951
452.0,0.9872617135901955,0.8874952632586648
453.0,0.9060846241229238,0.9131301233107524
454.0,0.9736507212931538,0.8846532293508204
456.0,1.00171106422366,0.9034422479412862
457.0,0.8164473042731037,0.9085274312399497
458.0,0.9788201667520693,0.8695355558639005
459.0,0.9256061829385585,0.8725359639584632
460.0,0.9941695734372533,0.8805139729535549
461.0,0.934534983790299,0.8390353605969086
462.0,0.9642152718825094,0.9515548940408427
464.0,0.9823966356181832,0.7827375292971025
465.0,0.9367459711116186,0.8662238668959273
466.0,0.9376676295324049,0.8960843854608469
467.0,0.9202919833244183,0.8641381862593438
468.0,1.0060558088363558,0.8472953273755113
469.0,0.9316548329398594,0.8949233166726692
470.0,0.9663470717833567,0.8397028569020168
472.0,0.8652466351317567,0.9063108358821852
473.0,0.9528818260922984,0.8637547951069772
474.0,0.9494380916186624,0.9003205736586085
475.0,0.8818836607110033,0.8282878505698414
477.0,0.975612317511642,0.8828218835074034
478.0,0.8984872361662383,0.8145644450655296
480.0,0.7922780113813848,0.9974973330033338
481.0,1.0528462872440132,0.825603554859249
482.0,1.0046324324938516,0.8625153721483614
483.0,1.0508760512045114,0.8139745132903671
484.0,1.103614157456217,0.899023054463745
485.0,0.9839395835939571,0.8607684422396538
486.0,0.994308569468657,0.8779133770449629
488.0,0.95247474841566,0.7806582166590436
489.0,0.9566544768609719,0.8788106665131447
490.0,0.9693276683566407,0.8298395112791254
491.0,1.0238899504274852,0.8669417345942584
492.0,0.9002778810432647,0.9465888076552843
493.0,0.9788582916878721,0.8101203508800333
494.0,0.9816157029497956,0.8390529983002613
497.0,0.9714665719346889,0.8459046572517694
498.0,0.8973500391114793,0.9003617103449009
499.0,0.8764912003376956,0.8142901604827104
500.0,0.96095240633333,0.8531147195181926
501.0,0.9401521705867691,0.8469055747410744
502.0,1.0457652989885629,0.8878340824670602
504.0,0.9257523008666932,0.9159448742239187
505.0,0.921122060039142,0.7897679439654022
506.0,0.9759407820436204,0.8253103417012986
507.0,0.9522405369342674,0.8478702810916818
509.0,0.9964452740475886,0.8650673948331883
510.0,0.9646560979310052,0.8196536934961097
512.0,0.9677187213807374,0.7187169599815515
513.0,0.953090869747395,0.8917597428905563
514.0,0.9582109045897287,0.7959316655161602
515.0,1.0595208740210766,0.8234267713035835
516.0,0.9735051899771575,0.8657192295023675
517.0,0.9841304006461771,0.8587791747185151
518.0,0.896471737662598,0.8495439364004759
520.0,0.8955113553114595,0.8124489315970319
521.0,0.9754809814217767,0.8341135453320377
522.0,0.9575458786452946,0.8241790411790715
523.0,1.002114326233122,0.7979606197550598
